Rank,Name,Net Worth,Real Time Wealth,Age,State,Source of Wealth,Philanthropic Score,profile,url
1,Jeff Bezos,$201 ,$201.50 ,57,Washington,Amazon,1,"Jeff Bezos founded e-commerce giant Amazon in 1994 out of his garage in Seattle. He stepped down as CEO to become executive chairman on July 5, 2021.
Amazon thrived during the pandemic; revenues in 2020 grew 38% to $386 billion as people stayed home and made online purchases.
In April 2020, Bezos said he would give $100 million to Feed America, a nonprofit that operates food banks and food pantries across the country.
Amazon has faced criticism from U.S. senators and the general public for its treatment of warehouse workers during the coronavirus pandemic.
He and his wife MacKenzie divorced in 2019 after 25 years of marriage and he transferred a quarter of his 16% Amazon stake to her.
Bezos owns The Washington Post and Blue Origin, an aerospace company that is developing rockets for commercial use.",https://www.forbes.com/profile/jeff-bezos/
2,Elon Musk,$190.50 ,$304.30 ,50,Texas,"Tesla, SpaceX",1,"Elon Musk is working to revolutionize transportation both on Earth, through electric car maker Tesla -- and in space, via rocket producer SpaceX.
He owns 23% of Tesla but has pledged more than half his stake as collateral for loans; Forbes has discounted his stake to take the loans into account.
The Tesla CEO stepped down as chairman in 2018, after making alleged ""false statements"" about a plan to take Tesla private, triggering an SEC probe.
SpaceX, Musk's rocket company, is valued at $74 billion after its latest funding round in February 2021.
He grew up in South Africa, then immigrated to Canada at age 17. He landed in the U.S. as a transfer student to the University of Pennsylvania.",https://www.forbes.com/profile/elon-musk/
3,Mark Zuckerberg,$134.50 ,$121.10 ,37,California,Facebook,2,"Facebook, the social network Zuckerberg runs, has been an information hub during the pandemic, but has come under scrutiny for spreading vaccine misinformation.
In June 2021, a judge dismissed antitrust cases brought by states and the federal government, which could have forced Facebook to sell off Instagram and WhatsApp.
Zuckerberg started Facebook at Harvard in 2004 at the age of 19 for students to match names with photos of classmates.
He took Facebook public in May 2012; he now owns about 12% of the company's stock.
In December 2015, Zuckerberg and his wife, Priscilla Chan, pledged to give away 99% of their Facebook stake over their lifetimes.",https://www.forbes.com/profile/mark-zuckerberg/
4,Bill Gates,$134 ,$138.50 ,65,Washington,Microsoft,4,"Bill Gates turned his fortune from software firm Microsoft into a diversified fortune; his focus has shifted to zero-carbon energy investing and philanthropy.
On May 3, 2021, Bill and Melinda each announced on Twitter they were ending their marriage after 27 years. They will still co-chair the foundation.
Gates, who cofounded Microsoft with Paul Allen (d. 2018) in 1975, has transferred at least $5.7 billion worth of shares in public companies to Melinda.
As of March 2020, when Gates stepped down from the Microsoft board, he owned about 1% of the software and computing company's shares.
He has invested in dozens of companies including Canadian National Railway and AutoNation, and is one of the largest owners of farmland in the U.S.
To date, Gates has donated $35.8 billion worth of Microsoft stock to the Gates Foundation.",https://www.forbes.com/profile/bill-gates/
5,Larry Page,$123 ,$127 ,48,California,Google,1,"Larry Page stepped down as CEO of Alphabet, the parent of Google, in December 2019 but remains a board member and a controlling shareholder.
He cofounded Google in 1998 with fellow Stanford Ph.D. student Sergey Brin.
With Brin, Page invented Google's PageRank algorithm, which powers the search engine.
Page was CEO until 2001, when Eric Schmidt took over, and then from 2011 until 2015, when he became CEO of Google's new parent company Alphabet.
He is a founding investor in space exploration company Planetary Resources and is also funding ""flying car"" startups Kitty Hawk and Opener.",https://www.forbes.com/profile/larry-page/
6,Sergey Brin,$118.50 ,$122.40 ,48,California,Google,1,"Sergey Brin stepped down as president of Alphabet, parent company of Google, in December 2019 but remains a controller shareholder and a board member.
He cofounded Google with Larry Page in 1998 after the two met at Stanford University while studying for advanced degrees in computer science.
Google went public in 2004 and began trading as Alphabet, a newly created parent company, in 2015.
Brin was absent from public Alphabet events for much of 2019; he spent his time on Alphabet's moonshot research lab X.
Brin is reportedly funding a high-tech airship project.",https://www.forbes.com/profile/sergey-brin/
7,Larry Ellison,$117.30 ,$129.90 ,77,Hawaii,software,1,"Larry Ellison is chairman, chief technology officer and cofounder of software giant Oracle, of which he owns about 35%.
He gave up the Oracle CEO role in 2014 after 37 years at the helm.
Oracle has grown in part through steady acquisitions of software companies, the biggest of which was $9.3 billion for NetSuite in 2016.
In 2020, Ellison moved permanently to the Hawaiian island Lanai, which he bought nearly all of in 2012 for $300 million.
Ellison joined Tesla's board in December 2018, after purchasing 3 million Tesla shares earlier that year.",https://www.forbes.com/profile/larry-ellison/
8,Warren Buffett,$102 ,$104.90 ,91,Nebraska,Berkshire Hathaway,5,"Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.
Buffett runs Berkshire Hathaway, which owns more than 60 companies, including insurer Geico, battery maker Duracell and restaurant chain Dairy Queen.
The son of a U.S. congressman, he first bought stock at age 11 and first filed taxes at age 13.
He has promised to donate over 99% of his wealth. So far he has given more than $45 billion, mostly to the Gates Foundation and his kids' foundations.
In 2010, he and Bill Gates launched the Giving Pledge, asking billionaires to commit to donating at least half of their wealth to charitable causes.",https://www.forbes.com/profile/warren-buffett/
9,Steve Ballmer,$96.50 ,$106 ,65,Washington,Microsoft,2,"Steve Ballmer is the high-wattage former CEO of Microsoft, who led the company from 2000 to 2014.
He joined Microsoft in 1980 as employee No. 30 after dropping out of Stanford's MBA program.
Ballmer oversaw Microsoft after the first dot-com crash and through efforts to catch up to Google in search capabilities and Apple in mobile phones.
The same year he retired from Microsoft he bought the NBA's Los Angeles Clippers for $2 billion.
He has ramped up his philanthropy since 2014, putting over $2 billion into a donor-advised fund, with a focus on lifting Americans out of poverty.
In 2018, he invested $59 million in Social Solutions, which makes software for nonprofits and government agencies.",https://www.forbes.com/profile/steve-ballmer/
10,Michael Bloomberg,$70 ,$59 ,79,New York,Bloomberg LP,4,"Michael Bloomberg cofounded financial information and media company Bloomberg LP in 1981.
He put in the seed funding for the company and now owns 88% of the business, which has revenues north of $10 billion.
Bloomberg got his start on Wall Street in 1966 with an entry level job at investment bank Salomon Brothers. He was fired 15 years later.
A major philanthropist, he has donated more than $5 billion to gun control, climate change and other causes.
He announced a run for president in November 2019 (but dropped out in March 2020), and spent hundreds of millions to defeat Donald Trump in 2020.
The mayor of New York City for 12 years, Bloomberg is one of just four individuals to have served that long.",https://www.forbes.com/profile/michael-bloomberg/
11,Jim Walton,$68.80 ,$68.80 ,73,Arkansas,Walmart,1,"Jim Walton is the youngest son of Walmart founder Sam Walton.
He is chairman of the family's Arvest Bank, which today boasts assets of more than $20 billion.
Jim sat on Walmart's board for more than a decade before yielding the seat to his son, Steuart, in June 2016.
Collectively, he and other heirs of Sam Walton own about half of Walmart's stock.
Jim and sister Alice are spearheading a program that will issue $300 million in bonds to help charter schools invest in facilities.",https://www.forbes.com/profile/jim-walton/
12,Alice Walton,$67.90 ,$67.90 ,71,Texas,Walmart,2,"Alice Walton is the only daughter of Walmart founder Sam Walton.
She has focused on curating art, rather than working for Walmart like her siblings, Rob and Jim.
In 2011, she opened the Crystal Bridges Museum of American Art in her hometown of Bentonville, Arkansas.
Crystal Bridges features works from the likes of Andy Warhol, Norman Rockwell and Mark Rothko.
In January 2020, she took aim at America's ""broken"" healthcare system and unveiled plans to open a holistic health institute in Bentonville.",https://www.forbes.com/profile/alice-walton/
13,Rob Walton,$67.60 ,$67.60 ,76,Arkansas,Walmart,1,"Rob Walton is the eldest son of Walmart founder Sam Walton.
Walton took over as chairman upon his father's death in 1992.
He retired as chairman in June 2015 and was replaced by his son-in-law, Greg Penner. Penner still sits on Walmart's board.
He and other heirs of Sam Walton collectively own about half of Walmart's stock.
To keep up with demand during the Covid-19 pandemic, Walmart hired an additional 400,000 mostly temporary workers.",https://www.forbes.com/profile/rob-walton/
14,Phil Knight & family,$59.90 ,$62.50 ,83,Oregon,Nike,2,"Phil Knight, founder of shoe giant Nike, retired as chairman in June 2016 after 52 years at the company.
Knight ran track at the University of Oregon and created Nike shoes with his former track coach, Bill Bowerman.
In 1964, they each put up $500 to start what would become Nike, then called Blue Ribbon Sports.
Today Nike's revenues are nearly $45 billion.
Knight has pledged over $500 million in donations to both the University of Oregon and Stanford's Graduate School of Business, his alma maters.",https://www.forbes.com/profile/phil-knight/
